epsilon,seed,n_episodes,success_rate,model,_fixed_bias
0.1,0,100,1.0,results/test1,[ 0.04964486 -0.08266374 -0.01482875 -0.02064962]
0.2,0,100,1.0,results/test1,[ 0.09928971 -0.16532747 -0.0296575  -0.04129925]
0.0,0,100,1.0,results/test1,[0. 0. 0. 0.]
0.3,0,100,1.0,results/test1,[ 0.14893457 -0.24799121 -0.04448626 -0.06194887]
0.5,0,100,1.0,results/test1,[ 0.24822428 -0.41331868 -0.07414376 -0.10324811]
0.4,0,100,1.0,results/test1,[ 0.19857942 -0.33065494 -0.05931501 -0.08259849]
0.7,0,100,1.0,results/test1,[ 0.34751399 -0.57864615 -0.10380126 -0.14454736]
0.8,0,100,1.0,results/test1,[ 0.39715884 -0.66130988 -0.11863002 -0.16519698]
0.6,0,100,1.0,results/test1,[ 0.29786913 -0.49598241 -0.08897251 -0.12389774]
1.1,0,100,0.57,results/test1,[ 0.54609341 -0.90930109 -0.16311627 -0.22714585]
0.9,0,100,0.95,results/test1,[ 0.4468037  -0.74397362 -0.13345877 -0.1858466 ]
1.0,0,100,0.73,results/test1,[ 0.49644855 -0.82663735 -0.14828752 -0.20649623]
1.2,0,100,0.4,results/test1,[ 0.59573826 -0.99196482 -0.17794502 -0.24779547]
1.3,0,100,0.31,results/test1,[ 0.64538312 -1.07462856 -0.19277378 -0.26844509]
1.4,0,100,0.26,results/test1,[ 0.69502797 -1.1572923  -0.20760253 -0.28909472]
1.5,0,100,0.14,results/test1,[ 0.74467283 -1.23995603 -0.22243128 -0.30974434]
