time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
4,85,-5.020423412322998,0.2239091992378235,-50.0,0.9710298776626587,2,0.0,0.0029333333333333334,99,200,0.0003,50.0,-0.19796767830848694,,
8,64,-6.17013692855835,0.2864189147949219,-49.125,0.9144805669784546,6,0.0,0.005866666666666667,299,400,0.0003,50.0,-0.6008230447769165,,
12,59,-7.231997966766357,0.2364414632320404,-49.0,0.8612073063850403,10,0.0,0.0088,499,600,0.0003,50.0,-1.0093274116516113,,
16,57,-8.220965385437012,0.19897550344467163,-49.1875,0.8110508918762207,13,0.0,0.011733333333333333,699,800,0.0003,50.0,-1.4060066938400269,,
20,56,-9.09814453125,0.1989908665418625,-49.35,0.7638079524040222,17,0.0,0.014666666666666666,899,1000,0.0003,50.0,-1.8151767253875732,,
24,56,-9.876297950744629,0.20404134690761566,-49.458333333333336,0.7193291187286377,21,0.0,0.0176,1099,1200,0.0003,50.0,-2.213289976119995,,
28,55,-10.741268157958984,0.21867907047271729,-49.535714285714285,0.677445650100708,25,0.0,0.020533333333333334,1299,1400,0.0003,50.0,-2.610584259033203,,
32,55,-11.51129150390625,0.197447270154953,-49.59375,0.6379947066307068,28,0.0,0.023466666666666667,1499,1600,0.0003,50.0,-3.0251715183258057,,
36,55,-12.051137924194336,0.19906817376613617,-49.638888888888886,0.6008396148681641,32,0.0,0.0264,1699,1800,0.0003,50.0,-3.439204692840576,,
40,54,-12.668514251708984,0.2157200276851654,-49.675,0.5658581256866455,36,0.0,0.029333333333333333,1899,2000,0.0003,50.0,-3.8263707160949707,,
44,54,-13.02252197265625,0.20643523335456848,-49.70454545454545,0.5329095125198364,40,0.0,0.032266666666666666,2099,2200,0.0003,50.0,-4.2258124351501465,,
48,54,-13.313743591308594,0.2151225209236145,-49.5625,0.5018900632858276,43,0.0,0.0352,2299,2400,0.0003,50.0,-4.63182258605957,,
52,54,-13.619073867797852,0.19352012872695923,-49.57692307692308,0.47266438603401184,47,0.0,0.03813333333333333,2499,2600,0.0003,50.0,-5.0464396476745605,,
56,54,-13.70059871673584,0.19460628926753998,-49.482142857142854,0.4451386630535126,51,0.0,0.04106666666666667,2699,2800,0.0003,50.0,-5.431708812713623,,
60,54,-13.796566009521484,0.18527263402938843,-49.46666666666667,0.41922810673713684,55,0.0,0.044,2899,3000,0.0003,50.0,-5.837465763092041,,
64,54,-13.806473731994629,0.22276438772678375,-49.15625,0.3948409855365753,59,0.0,0.046933333333333334,3099,3200,0.0003,50.0,-6.222723007202148,,
68,53,-13.83106517791748,0.18362510204315186,-49.205882352941174,0.37187057733535767,63,0.0,0.04986666666666666,3299,3400,0.0003,50.0,-6.615825176239014,,
72,53,-13.756037712097168,0.189010888338089,-49.138888888888886,0.35024434328079224,66,0.013888888992369175,0.0528,3499,3600,0.0003,50.0,-7.039206504821777,,
76,53,-13.53343391418457,0.1944529116153717,-49.06578947368421,0.3298923969268799,70,0.01315789483487606,0.05573333333333333,3699,3800,0.0003,50.0,-7.416754245758057,,
80,53,-13.37232780456543,0.1951654851436615,-49.0125,0.31073111295700073,74,0.012500000186264515,0.058666666666666666,3899,4000,0.0003,50.0,-7.853652000427246,,
84,53,-13.099621772766113,0.1994570642709732,-49.04761904761905,0.29269275069236755,78,0.02380952425301075,0.061599999999999995,4099,4200,0.0003,50.0,-8.22783088684082,,
88,53,-12.86121940612793,0.17382335662841797,-49.09090909090909,0.27572619915008545,82,0.022727273404598236,0.06453333333333333,4299,4400,0.0003,50.0,-8.491979598999023,,
92,53,-12.590025901794434,0.16600055992603302,-48.96739130434783,0.2597748637199402,85,0.021739130839705467,0.06746666666666666,4499,4600,0.0003,50.0,-8.937840461730957,,
96,53,-12.09478759765625,0.16315625607967377,-49.010416666666664,0.24479271471500397,89,0.02083333395421505,0.0704,4699,4800,0.0003,50.0,-9.260212898254395,,
100,52,-11.894519805908203,0.15816417336463928,-48.82,0.23070554435253143,95,0.029999999329447746,0.07333333333333333,4899,5000,0.0003,50.0,-9.734320640563965,0.17728077454439084,0.3
104,52,-11.5474853515625,0.1794801503419876,-48.82,0.2174619883298874,99,0.029999999329447746,0.07626666666666666,5099,5200,0.0003,50.0,-10.014900207519531,,
108,52,-11.257235527038574,0.16858357191085815,-48.87,0.20503069460391998,103,0.029999999329447746,0.07919999999999999,5299,5400,0.0003,50.0,-10.189149856567383,,
112,52,-10.86959171295166,0.16794174909591675,-48.85,0.1933651566505432,106,0.029999999329447746,0.08213333333333334,5499,5600,0.0003,50.0,-10.601310729980469,,
116,52,-10.409518241882324,0.1591302752494812,-48.77,0.182403102517128,110,0.029999999329447746,0.08506666666666667,5699,5800,0.0003,50.0,-10.707332611083984,,
120,52,-9.897525787353516,0.17197388410568237,-48.41,0.17214269936084747,114,0.03999999910593033,0.088,5899,6000,0.0003,50.0,-10.833863258361816,,
124,52,-9.757580757141113,0.16127055883407593,-48.23,0.16249693930149078,118,0.03999999910593033,0.09093333333333332,6099,6200,0.0003,50.0,-10.96274185180664,,
128,52,-9.254314422607422,0.15012869238853455,-47.99,0.15347039699554443,122,0.03999999910593033,0.09386666666666667,6299,6400,0.0003,50.0,-11.35990047454834,,
132,52,-8.607804298400879,0.13925638794898987,-47.74,0.14499801397323608,125,0.03999999910593033,0.0968,6499,6600,0.0003,50.0,-11.512731552124023,,
136,52,-8.272713661193848,0.1487082540988922,-47.39,0.13704614341259003,129,0.05000000074505806,0.09973333333333333,6699,6800,0.0003,50.0,-11.545530319213867,,
140,52,-8.010825157165527,0.1424664705991745,-46.83,0.12960317730903625,133,0.05999999865889549,0.10266666666666667,6899,7000,0.0003,50.0,-11.586082458496094,,
144,52,-7.5917558670043945,0.16280698776245117,-46.05,0.12262516468763351,137,0.07000000029802322,0.1056,7099,7200,0.0003,50.0,-11.375725746154785,,
148,52,-7.168670177459717,0.16707921028137207,-45.3,0.11605942994356155,141,0.07999999821186066,0.10853333333333333,7299,7400,0.0003,50.0,-11.705831527709961,,
152,52,-6.896638870239258,0.163894921541214,-43.93,0.10988736152648926,145,0.10999999940395355,0.11146666666666666,7499,7600,0.0003,50.0,-11.799776077270508,,
156,51,-6.455641746520996,0.18758398294448853,-42.39,0.1040884405374527,150,0.14000000059604645,0.1144,7699,7800,0.0003,50.0,-11.739872932434082,,
160,51,-6.168789863586426,0.1318262368440628,-41.11,0.09861619770526886,154,0.1599999964237213,0.11733333333333333,7899,8000,0.0003,50.0,-11.190425872802734,,
164,51,-5.879683494567871,0.155341237783432,-39.86,0.0934704840183258,158,0.1899999976158142,0.12026666666666666,8099,8200,0.0003,50.0,-11.119982719421387,,
168,51,-5.673669815063477,0.14451508224010468,-38.61,0.08864571154117584,162,0.2199999988079071,0.12319999999999999,8299,8400,0.0003,50.0,-11.65484619140625,,
172,51,-5.427056312561035,0.15381503105163574,-37.04,0.08408696204423904,166,0.25,0.12613333333333332,8499,8600,0.0003,50.0,-11.112082481384277,,
176,51,-5.308187961578369,0.1559949517250061,-35.56,0.07983776926994324,170,0.28999999165534973,0.12906666666666666,8699,8800,0.0003,50.0,-11.529940605163574,,
180,51,-4.842895984649658,0.15740883350372314,-33.83,0.07583730667829514,174,0.33000001311302185,0.132,8899,9000,0.0003,50.0,-11.008822441101074,,
184,51,-4.550337791442871,0.12993431091308594,-32.09,0.07203928381204605,178,0.3499999940395355,0.13493333333333332,9099,9200,0.0003,50.0,-10.820394515991211,,
188,51,-4.612296104431152,0.14944155514240265,-30.2,0.06846143305301666,183,0.38999998569488525,0.13786666666666667,9299,9400,0.0003,50.0,-10.628124237060547,,
192,51,-4.400305271148682,0.12673281133174896,-28.47,0.06512074917554855,187,0.4300000071525574,0.1408,9499,9600,0.0003,50.0,-10.603128433227539,,
196,51,-4.4047722816467285,0.12261848151683807,-26.57,0.06196458265185356,191,0.4699999988079071,0.14373333333333332,9699,9800,0.0003,50.0,-10.849419593811035,,
200,50,-4.252046585083008,0.1488511860370636,-24.88,0.05900808796286583,197,0.5,0.14666666666666667,9899,10000,0.0003,50.0,-9.89482593536377,0.010716950213961423,1.0
204,50,-4.35710334777832,0.14260835945606232,-22.97,0.05621851980686188,201,0.5400000214576721,0.14959999999999998,10099,10200,0.0003,50.0,-9.831732749938965,,
208,50,-4.520625114440918,0.1302846521139145,-21.06,0.05355926603078842,206,0.5799999833106995,0.15253333333333333,10299,10400,0.0003,50.0,-9.802288055419922,,
212,50,-4.308936595916748,0.1384553611278534,-19.29,0.05098980665206909,210,0.6200000047683716,0.15546666666666667,10499,10600,0.0003,50.0,-10.123113632202148,,
216,50,-4.174196720123291,0.13305889070034027,-17.46,0.04859704524278641,214,0.6600000262260437,0.15839999999999999,10699,10800,0.0003,50.0,-9.301684379577637,,
220,50,-4.162232398986816,0.13866090774536133,-15.96,0.04633460193872452,218,0.6899999976158142,0.16133333333333333,10899,11000,0.0003,50.0,-8.321013450622559,,
