time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
4,0.0,-0.19796119630336761,-50.0,45,0.0088,0.22343710064888,0.9710298776626587,0.0003,99,50.0,200,-5.020514488220215,4,,
8,0.0,-0.6008533835411072,-49.5,29,0.0176,0.2851356267929077,0.9144806861877441,0.0003,299,50.0,400,-6.1741180419921875,13,,
12,0.0,-1.0093435049057007,-49.25,26,0.0264,0.23151056468486786,0.8612069487571716,0.0003,499,50.0,600,-7.226161003112793,22,,
16,0.0,-1.4059953689575195,-49.375,25,0.0352,0.20272868871688843,0.81104975938797,0.0003,699,50.0,800,-8.219895362854004,31,,
20,0.0,-1.8154674768447876,-49.5,24,0.044,0.19925011694431305,0.7638068199157715,0.0003,899,50.0,1000,-9.099621772766113,40,,
24,0.0,-2.2132515907287598,-49.583333333333336,23,0.0528,0.20252668857574463,0.7193272709846497,0.0003,1099,50.0,1200,-9.88778018951416,50,,
28,0.0,-2.610825538635254,-49.642857142857146,23,0.061599999999999995,0.21735355257987976,0.6774435043334961,0.0003,1299,50.0,1400,-10.76478385925293,59,,
32,0.0,-3.0251402854919434,-49.6875,23,0.0704,0.19311285018920898,0.6379925608634949,0.0003,1499,50.0,1600,-11.51294994354248,68,,
36,0.0,-3.4387545585632324,-49.72222222222222,23,0.07919999999999999,0.19267936050891876,0.6008372902870178,0.0003,1699,50.0,1800,-12.05929946899414,77,,
40,0.0,-3.8268585205078125,-49.75,23,0.088,0.21569523215293884,0.5658544898033142,0.0003,1899,50.0,2000,-12.675971031188965,86,,
44,0.0,-4.225922584533691,-49.77272727272727,22,0.0968,0.20625415444374084,0.5329048037528992,0.0003,2099,50.0,2200,-13.013944625854492,95,,
48,0.0,-4.633032321929932,-49.666666666666664,22,0.1056,0.21501624584197998,0.501885175704956,0.0003,2299,50.0,2400,-13.305010795593262,105,,
52,0.0,-5.045407772064209,-49.69230769230769,22,0.1144,0.19536200165748596,0.47266215085983276,0.0003,2499,50.0,2600,-13.62636947631836,114,,
56,0.0,-5.431187152862549,-49.55357142857143,22,0.12319999999999999,0.18602553009986877,0.44514000415802,0.0003,2699,50.0,2800,-13.720938682556152,123,,
60,0.0,-5.834232807159424,-49.53333333333333,22,0.132,0.18545551598072052,0.4192310869693756,0.0003,2899,50.0,3000,-13.81363582611084,133,,
64,0.0,-6.219795227050781,-49.40625,22,0.1408,0.22683534026145935,0.3948456645011902,0.0003,3099,50.0,3200,-13.821030616760254,143,,
68,0.0,-6.612325668334961,-49.44117647058823,22,0.14959999999999998,0.18602672219276428,0.3718760311603546,0.0003,3299,50.0,3400,-13.829490661621094,152,,
72,0.0,-7.036451816558838,-49.47222222222222,22,0.15839999999999999,0.18537811934947968,0.35025060176849365,0.0003,3499,50.0,3600,-13.736228942871094,162,,
76,0.0,-7.418494701385498,-49.48684210526316,21,0.1672,0.19783303141593933,0.3299032747745514,0.0003,3699,50.0,3800,-13.53310489654541,173,,
80,0.0,-7.837338924407959,-49.475,21,0.176,0.18659700453281403,0.3107425570487976,0.0003,3899,50.0,4000,-13.323652267456055,182,,
84,0.0,-8.223690032958984,-49.5,21,0.1848,0.19813236594200134,0.2927074134349823,0.0003,4099,50.0,4200,-13.136100769042969,192,,
88,0.0,-8.48032283782959,-49.52272727272727,21,0.1936,0.17003002762794495,0.27574998140335083,0.0003,4299,50.0,4400,-12.931092262268066,202,,
