curriculum/epsilon,time/time_elapsed,rollout/success_rate,train/learning_rate,train/critic_loss,time/fps,train/ent_coef,time/total_timesteps,train/ent_coef_loss,train/actor_loss,train/n_updates,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,eval/clean_mean_d,eval/clean_success_rate
1.1,6,0.0,0.0003,0.1736648976802826,30,0.9710323810577393,200,-0.19691406190395355,-4.884995460510254,99,4,50.0,-50.0,,
1.1,19,0.0,0.0003,0.17844901978969574,20,0.9144837856292725,400,-0.599478542804718,-6.108804225921631,299,8,50.0,-49.75,,
1.1,33,0.0,0.0003,0.1394864022731781,18,0.8612300157546997,600,-1.0032318830490112,-7.115866661071777,499,12,50.0,-49.833333333333336,,
1.1,45,0.0,0.0003,0.15373677015304565,17,0.8110697269439697,800,-1.405005693435669,-7.962505340576172,699,16,50.0,-49.875,,
1.1,58,0.0,0.0003,0.15032655000686646,17,0.7638407945632935,1000,-1.8088299036026,-8.984216690063477,899,20,50.0,-49.7,,
1.1,71,0.0,0.0003,0.14291998744010925,16,0.7193384766578674,1200,-2.216794013977051,-9.911385536193848,1099,24,50.0,-49.625,,
1.1,84,0.0,0.0003,0.14798705279827118,16,0.67742919921875,1400,-2.618492603302002,-10.74346923828125,1299,28,50.0,-49.67857142857143,,
1.1,96,0.0,0.0003,0.14206816256046295,16,0.6379749178886414,1600,-3.038902759552002,-11.401618957519531,1499,32,50.0,-49.71875,,
1.1,109,0.0,0.0003,0.1567375510931015,16,0.6008185744285583,1800,-3.423011541366577,-11.779123306274414,1699,36,50.0,-49.75,,
1.1,122,0.0,0.0003,0.14370062947273254,16,0.5658469200134277,2000,-3.83048677444458,-12.527719497680664,1899,40,50.0,-49.775,,
1.1,134,0.0,0.0003,0.15418915450572968,16,0.5329012274742126,2200,-4.2257981300354,-12.708456993103027,2099,44,50.0,-49.75,,
1.1,147,0.0,0.0003,0.14041708409786224,16,0.501879870891571,2400,-4.64718770980835,-12.918304443359375,2299,48,50.0,-49.666666666666664,,
1.1,160,0.0,0.0003,0.14333096146583557,16,0.47266843914985657,2600,-5.03835916519165,-13.422178268432617,2499,52,50.0,-49.69230769230769,,
1.1,172,0.0,0.0003,0.14564462006092072,16,0.44516485929489136,2800,-5.43073844909668,-13.506143569946289,2699,56,50.0,-49.642857142857146,,
1.1,185,0.0,0.0003,0.1384439766407013,16,0.4192662239074707,3000,-5.838566780090332,-13.575160026550293,2899,60,50.0,-49.666666666666664,,
1.1,198,0.0,0.0003,0.14417368173599243,16,0.39489999413490295,3200,-6.219732284545898,-13.913673400878906,3099,64,50.0,-49.6875,,
1.1,210,0.0,0.0003,0.15521010756492615,16,0.37195470929145813,3400,-6.666016101837158,-13.663822174072266,3299,68,50.0,-49.705882352941174,,
1.1,223,0.0,0.0003,0.1245986670255661,16,0.35036173462867737,3600,-6.9923810958862305,-13.796537399291992,3499,72,50.0,-49.72222222222222,,
1.1,235,0.0,0.0003,0.13965100049972534,16,0.33004456758499146,3800,-7.387742519378662,-13.730646133422852,3699,76,50.0,-49.723684210526315,,
1.1,248,0.0,0.0003,0.1340169906616211,16,0.31091779470443726,4000,-7.764383792877197,-13.554834365844727,3899,80,50.0,-49.6875,,
1.1,261,0.0,0.0003,0.11893445253372192,16,0.29292190074920654,4200,-8.169398307800293,-13.324552536010742,4099,84,50.0,-49.654761904761905,,
1.1,273,0.0,0.0003,0.14570297300815582,16,0.27599290013313293,4400,-8.458125114440918,-13.221827507019043,4299,88,50.0,-49.67045454545455,,
1.1,286,0.0,0.0003,0.11091601103544235,16,0.2600625455379486,4600,-8.908459663391113,-13.297304153442383,4499,92,50.0,-49.66304347826087,,
1.1,299,0.0,0.0003,0.1559545397758484,16,0.24508291482925415,4800,-9.24167251586914,-13.369099617004395,4699,96,50.0,-49.677083333333336,,
1.1,316,0.0,0.0003,0.1502695083618164,15,0.230980783700943,5000,-9.52904987335205,-13.285103797912598,4899,100,50.0,-49.67,0.1684047815291354,0.25
1.1,329,0.0,0.0003,0.137245312333107,15,0.21772094070911407,5200,-9.876264572143555,-12.353432655334473,5099,104,50.0,-49.67,,
1.1,342,0.0,0.0003,0.134250670671463,15,0.20526307821273804,5400,-10.102313041687012,-12.405013084411621,5299,108,50.0,-49.68,,
1.1,355,0.0,0.0003,0.13670149445533752,15,0.19355861842632294,5600,-10.52087116241455,-11.975202560424805,5499,112,50.0,-49.68,,
1.1,367,0.0,0.0003,0.1303783506155014,15,0.18254709243774414,5800,-10.711181640625,-11.99721908569336,5699,116,50.0,-49.68,,
1.1,380,0.0,0.0003,0.13513192534446716,15,0.17218247056007385,6000,-11.036150932312012,-11.541194915771484,5899,120,50.0,-49.72,,
1.1,393,0.0,0.0003,0.15440845489501953,15,0.16244752705097198,6200,-11.369163513183594,-11.514823913574219,6099,124,50.0,-49.74,,
1.1,406,0.0,0.0003,0.13902650773525238,15,0.15329156816005707,6400,-11.546610832214355,-10.76119327545166,6299,128,50.0,-49.74,,
1.1,419,0.0,0.0003,0.12825553119182587,15,0.14469754695892334,6600,-11.925765037536621,-10.499625205993652,6499,132,50.0,-49.74,,
1.1,432,0.0,0.0003,0.17578968405723572,15,0.136616513133049,6800,-11.994222640991211,-10.24515438079834,6699,136,50.0,-49.74,,
