train/actor_loss,train/ent_coef_loss,train/n_updates,time/episodes,time/fps,train/ent_coef,time/total_timesteps,curriculum/epsilon,rollout/success_rate,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,eval/clean_success_rate,eval/clean_mean_d
-5.074526786804199,-0.1970319151878357,99,4,30,0.9710294008255005,200,0.0,0.0,-48.75,0.27748608589172363,0.0003,50.0,6,,
-6.255318641662598,-0.5994130969047546,299,8,20,0.9144774675369263,400,0.0,0.0,-47.875,0.24105703830718994,0.0003,50.0,19,,
-7.389802932739258,-1.0051920413970947,499,12,19,0.8612128496170044,600,0.0,0.0,-48.333333333333336,0.20723691582679749,0.0003,50.0,31,,
-8.350196838378906,-1.4069939851760864,699,16,18,0.8110576868057251,800,0.0,0.0,-48.75,0.21318760514259338,0.0003,50.0,43,,
-9.357348442077637,-1.8101215362548828,899,20,17,0.7638325691223145,1000,0.0,0.0,-48.85,0.22666394710540771,0.0003,50.0,56,,
-10.159592628479004,-2.215513229370117,1099,24,17,0.7193363308906555,1200,0.0,0.0,-49.041666666666664,0.2163192629814148,0.0003,50.0,69,,
-11.0169038772583,-2.6190733909606934,1299,28,17,0.677433431148529,1400,0.0,0.0,-49.142857142857146,0.2010866105556488,0.0003,50.0,81,,
-11.8058443069458,-3.042412281036377,1499,32,17,0.637986958026886,1600,0.0,0.0,-49.25,0.20356126129627228,0.0003,50.0,94,,
-12.256732940673828,-3.4259305000305176,1699,36,16,0.6008413434028625,1800,0.0,0.0,-49.333333333333336,0.2284771203994751,0.0003,50.0,106,,
-12.750450134277344,-3.8350019454956055,1899,40,16,0.5658726692199707,2000,0.0,0.0,-49.175,0.19546203315258026,0.0003,50.0,119,,
-13.216567039489746,-4.221571922302246,2099,44,16,0.5329294204711914,2200,0.0,0.0,-49.15909090909091,0.22364172339439392,0.0003,50.0,131,,
-13.674301147460938,-4.656588554382324,2299,48,16,0.501914381980896,2400,0.0,0.0,-49.229166666666664,0.21190166473388672,0.0003,50.0,144,,
-13.905487060546875,-5.03353214263916,2499,52,16,0.4727087914943695,2600,0.0,0.0,-49.28846153846154,0.1966952681541443,0.0003,50.0,156,,
-14.100001335144043,-5.4262166023254395,2699,56,16,0.44520750641822815,2800,0.0,0.0,-49.32142857142857,0.1902695596218109,0.0003,50.0,169,,
-14.239700317382812,-5.84425163269043,2899,60,16,0.41930922865867615,3000,0.0,0.0,-49.333333333333336,0.20425596833229065,0.0003,50.0,182,,
-14.179488182067871,-6.222847938537598,3099,64,16,0.3949371874332428,3200,0.0,0.0,-49.375,0.15992578864097595,0.0003,50.0,194,,
-14.36390209197998,-6.620718479156494,3299,68,16,0.37199288606643677,3400,0.0,0.0,-49.411764705882355,0.19148334860801697,0.0003,50.0,207,,
-14.271656036376953,-6.98035192489624,3499,72,16,0.35038086771965027,3600,0.0,0.0,-49.375,0.17005077004432678,0.0003,50.0,219,,
-14.315784454345703,-7.398791313171387,3699,76,16,0.3300524353981018,3800,0.0,0.0,-49.4078947368421,0.1974150836467743,0.0003,50.0,232,,
-14.094352722167969,-7.816556930541992,3899,80,16,0.3109201192855835,4000,0.0,0.0,-49.4375,0.21182376146316528,0.0003,50.0,245,,
-13.863505363464355,-8.181981086730957,4099,84,16,0.292895644903183,4200,0.0,0.0,-49.464285714285715,0.19912660121917725,0.0003,50.0,257,,
-13.745465278625488,-8.465705871582031,4299,88,16,0.2759506106376648,4400,0.0,0.0,-49.48863636363637,0.18030135333538055,0.0003,50.0,270,,
-13.536651611328125,-8.956748962402344,4499,92,16,0.26000332832336426,4600,0.0,0.0,-49.51086956521739,0.1891583502292633,0.0003,50.0,283,,
-13.39212417602539,-9.298856735229492,4699,96,16,0.24500449001789093,4800,0.0,0.0,-49.53125,0.18598702549934387,0.0003,50.0,296,,
-13.092698097229004,-9.712700843811035,4899,100,15,0.23086629807949066,5000,0.0,0.0,-49.55,0.1763913929462433,0.0003,50.0,313,0.15,0.40176975456334085
-12.803092956542969,-9.91666030883789,5099,104,15,0.2175561934709549,5200,0.0,0.0,-49.56,0.196916401386261,0.0003,50.0,325,,
-12.153515815734863,-10.26346206665039,5299,108,15,0.20504949986934662,5400,0.0,0.0,-49.67,0.18853485584259033,0.0003,50.0,338,,
-12.233832359313965,-10.585345268249512,5499,112,15,0.19330008327960968,5600,0.0,0.0,-49.69,0.1773013174533844,0.0003,50.0,351,,
-11.564419746398926,-11.087210655212402,5699,116,15,0.1822630614042282,5800,0.0,0.0,-49.69,0.14748018980026245,0.0003,50.0,363,,
-11.132369995117188,-11.302712440490723,5899,120,15,0.1718575358390808,6000,0.0,0.0,-49.69,0.18270783126354218,0.0003,50.0,376,,
-10.867044448852539,-11.466201782226562,6099,124,15,0.16209706664085388,6200,0.0,0.0,-49.69,0.15904265642166138,0.0003,50.0,389,,
-10.327095031738281,-11.531219482421875,6299,128,15,0.1529366821050644,6400,0.0,0.0,-49.7,0.1551702320575714,0.0003,50.0,401,,
