rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,curriculum/epsilon,train/critic_loss,time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/clean_success_rate,eval/clean_mean_d
0.0,50.0,200,110,-50.0,0.0,0.22445327043533325,4,99,-5.020397186279297,1,0.0003,-0.1979709267616272,0.9710298776626587,,
0.0,50.0,400,76,-49.0,0.0,0.2866556644439697,8,299,-6.175161838531494,5,0.0003,-0.6007990837097168,0.9144806861877441,,
0.0,50.0,600,70,-48.916666666666664,0.0,0.23589861392974854,12,499,-7.2316107749938965,8,0.0003,-1.0092930793762207,0.861207127571106,,
0.0,50.0,800,66,-49.125,0.0,0.19959527254104614,16,699,-8.216136932373047,11,0.0003,-1.4060585498809814,0.8110505938529968,,
0.0,50.0,1000,65,-49.3,0.0,0.19874238967895508,20,899,-9.092552185058594,15,0.0003,-1.8152326345443726,0.7638072967529297,,
0.0,50.0,1200,64,-49.416666666666664,0.0,0.20366491377353668,24,1099,-9.874267578125,18,0.0003,-2.2132651805877686,0.7193281054496765,,
0.0,50.0,1400,64,-49.5,0.0,0.22000670433044434,28,1299,-10.748246192932129,21,0.0003,-2.610459566116333,0.6774449348449707,,
0.0,50.0,1600,63,-49.5625,0.0,0.1978318691253662,32,1499,-11.50745964050293,25,0.0003,-3.025397300720215,0.6379943490028381,,
0.0,50.0,1800,63,-49.611111111111114,0.0,0.19530484080314636,36,1699,-12.050925254821777,28,0.0003,-3.4391589164733887,0.6008389592170715,,
0.0,50.0,2000,63,-49.65,0.0,0.21605582535266876,40,1899,-12.662649154663086,31,0.0003,-3.8265891075134277,0.5658571720123291,,
0.0,50.0,2200,62,-49.68181818181818,0.0,0.20671427249908447,44,2099,-13.025315284729004,34,0.0003,-4.225803375244141,0.5329078435897827,,
0.0,50.0,2400,62,-49.666666666666664,0.0,0.22609825432300568,48,2299,-13.308298110961914,38,0.0003,-4.631839275360107,0.5018889904022217,,
0.0,50.0,2600,62,-49.67307692307692,0.0,0.1940353959798813,52,2499,-13.620969772338867,41,0.0003,-5.046441555023193,0.4726641774177551,,
0.0,50.0,2800,62,-49.67857142857143,0.0,0.1920604109764099,56,2699,-13.705921173095703,45,0.0003,-5.431366920471191,0.4451393783092499,,
0.0,50.0,3000,61,-49.68333333333333,0.0,0.1853122115135193,60,2899,-13.794228553771973,48,0.0003,-5.837430953979492,0.41922885179519653,,
