time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
4,76,-4.990551948547363,0.2717764973640442,-50.0,0.971017599105835,2,0.0,0.0029333333333333334,99,200,0.0003,50.0,-0.19804048538208008,,
8,55,-6.08700704574585,0.23496466875076294,-49.625,0.9144672155380249,7,0.0,0.005866666666666667,299,400,0.0003,50.0,-0.6032099723815918,,
12,50,-7.102431297302246,0.24505090713500977,-49.75,0.8612061142921448,11,0.0,0.0088,499,600,0.0003,50.0,-1.0095511674880981,,
16,48,-8.26799201965332,0.23305939137935638,-49.5,0.8110461831092834,16,0.0,0.011733333333333333,699,800,0.0003,50.0,-1.4127745628356934,,
20,47,-9.158550262451172,0.19966426491737366,-49.6,0.7638187408447266,21,0.0,0.014666666666666666,899,1000,0.0003,50.0,-1.8134117126464844,,
24,46,-10.036550521850586,0.24861228466033936,-49.666666666666664,0.7193381190299988,25,0.0,0.0176,1099,1200,0.0003,50.0,-2.214197874069214,,
28,46,-10.783553123474121,0.2162173092365265,-49.607142857142854,0.6774537563323975,30,0.0,0.020533333333333334,1299,1400,0.0003,50.0,-2.61586594581604,,
32,45,-11.432607650756836,0.22874566912651062,-49.65625,0.6380194425582886,34,0.0,0.023466666666666667,1499,1600,0.0003,50.0,-3.015321969985962,,
36,45,-12.0436372756958,0.19789516925811768,-49.47222222222222,0.6008810997009277,39,0.0,0.0264,1699,1800,0.0003,50.0,-3.4235527515411377,,
40,45,-12.418855667114258,0.16518506407737732,-49.325,0.5659031271934509,44,0.0,0.029333333333333333,1899,2000,0.0003,50.0,-3.8437533378601074,,
44,45,-12.908223152160645,0.17941823601722717,-49.38636363636363,0.5329765677452087,48,0.0,0.032266666666666666,2099,2200,0.0003,50.0,-4.247082710266113,,
48,45,-13.264825820922852,0.227914497256279,-49.395833333333336,0.5019803643226624,53,0.0,0.0352,2299,2400,0.0003,50.0,-4.6263837814331055,,
52,44,-13.63585376739502,0.20785364508628845,-49.26923076923077,0.47278890013694763,58,0.0,0.03813333333333333,2499,2600,0.0003,50.0,-5.021934509277344,,
56,44,-13.782174110412598,0.205143541097641,-49.32142857142857,0.4452972114086151,63,0.0,0.04106666666666667,2699,2800,0.0003,50.0,-5.44602108001709,,
60,44,-13.975481986999512,0.20209527015686035,-49.36666666666667,0.4194217622280121,68,0.0,0.044,2899,3000,0.0003,50.0,-5.837717056274414,,
64,44,-14.071314811706543,0.17993004620075226,-49.359375,0.39506566524505615,72,0.0,0.046933333333333334,3099,3200,0.0003,50.0,-6.244940280914307,,
68,44,-14.226798057556152,0.2156229019165039,-49.36764705882353,0.37212488055229187,77,0.0,0.04986666666666666,3299,3400,0.0003,50.0,-6.593498706817627,,
72,44,-14.078899383544922,0.1996082067489624,-49.388888888888886,0.35054537653923035,81,0.0,0.0528,3499,3600,0.0003,50.0,-7.0323662757873535,,
76,43,-14.029522895812988,0.17029038071632385,-49.421052631578945,0.33022478222846985,86,0.0,0.05573333333333333,3699,3800,0.0003,50.0,-7.333710670471191,,
80,43,-13.862586975097656,0.1973184049129486,-49.45,0.3110876977443695,90,0.0,0.058666666666666666,3899,4000,0.0003,50.0,-7.744858264923096,,
84,43,-13.747392654418945,0.18450665473937988,-49.476190476190474,0.29307737946510315,95,0.0,0.061599999999999995,4099,4200,0.0003,50.0,-8.13080883026123,,
88,43,-13.47143268585205,0.16904117166996002,-49.5,0.2761414051055908,100,0.0,0.06453333333333333,4299,4400,0.0003,50.0,-8.465587615966797,,
92,43,-13.12590217590332,0.14605242013931274,-49.52173913043478,0.26019951701164246,104,0.0,0.06746666666666666,4499,4600,0.0003,50.0,-8.950308799743652,,
96,43,-12.975400924682617,0.19395937025547028,-49.53125,0.2452116459608078,109,0.0,0.0704,4699,4800,0.0003,50.0,-9.245396614074707,,
100,43,-12.584341049194336,0.1684720814228058,-49.45,0.23111280798912048,115,0.0,0.07333333333333333,4899,5000,0.0003,50.0,-9.50183391571045,0.32909248237320515,0.15
104,43,-12.257295608520508,0.18377503752708435,-49.44,0.21787315607070923,120,0.0,0.07626666666666666,5099,5200,0.0003,50.0,-9.89285659790039,,
108,43,-12.043737411499023,0.16324080526828766,-49.44,0.20541703701019287,125,0.0,0.07919999999999999,5299,5400,0.0003,50.0,-10.170886039733887,,
112,43,-11.668368339538574,0.20137923955917358,-49.44,0.1937214732170105,129,0.0,0.08213333333333334,5499,5600,0.0003,50.0,-10.429609298706055,,
116,43,-11.110227584838867,0.15683513879776,-49.4,0.182772696018219,134,0.0,0.08506666666666667,5699,5800,0.0003,50.0,-10.81930160522461,,
120,43,-10.805307388305664,0.13242845237255096,-49.37,0.17248360812664032,138,0.0,0.088,5899,6000,0.0003,50.0,-10.869804382324219,,
124,43,-10.453570365905762,0.1543310284614563,-49.31,0.16282014548778534,143,0.0,0.09093333333333332,6099,6200,0.0003,50.0,-11.170621871948242,,
