time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
4,0.0,-0.19803790748119354,-50.0,28,0.0088,0.2719115614891052,0.971017599105835,0.0003,99,50.0,200,-4.990354537963867,6,,
8,0.0,-0.6031652092933655,-49.625,17,0.0176,0.23697413504123688,0.9144671559333801,0.0003,299,50.0,400,-6.088461399078369,22,,
12,0.0,-1.009641170501709,-49.75,16,0.0264,0.23964768648147583,0.8612058162689209,0.0003,499,50.0,600,-7.104718208312988,37,,
16,0.0,-1.4128800630569458,-49.5625,15,0.0352,0.23410174250602722,0.8110451102256775,0.0003,699,50.0,800,-8.281244277954102,51,,
20,0.0,-1.813555121421814,-49.65,15,0.044,0.19963492453098297,0.7638174891471863,0.0003,899,50.0,1000,-9.165410041809082,64,,
24,0.0,-2.214338541030884,-49.708333333333336,15,0.0528,0.23849144577980042,0.7193357944488525,0.0003,1099,50.0,1200,-10.031786918640137,77,,
28,0.0,-2.616079568862915,-49.714285714285715,15,0.061599999999999995,0.21618589758872986,0.6774501800537109,0.0003,1299,50.0,1400,-10.789281845092773,91,,
32,0.0,-3.015594005584717,-49.75,15,0.0704,0.2300199568271637,0.63801509141922,0.0003,1499,50.0,1600,-11.40949535369873,104,,
36,0.0,-3.4237751960754395,-49.77777777777778,15,0.07919999999999999,0.19461685419082642,0.6008769273757935,0.0003,1699,50.0,1800,-12.039175033569336,118,,
40,0.0,-3.84376859664917,-49.75,15,0.088,0.16905778646469116,0.5659003257751465,0.0003,1899,50.0,2000,-12.420554161071777,131,,
44,0.0,-4.247469425201416,-49.75,15,0.0968,0.1726718246936798,0.5329725742340088,0.0003,2099,50.0,2200,-12.903799057006836,144,,
48,0.0,-4.6263427734375,-49.75,15,0.1056,0.2221117615699768,0.5019730925559998,0.0003,2299,50.0,2400,-13.190185546875,158,,
