curriculum/epsilon,time/time_elapsed,rollout/success_rate,train/learning_rate,train/critic_loss,time/fps,train/ent_coef,time/total_timesteps,train/ent_coef_loss,train/actor_loss,train/n_updates,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,eval/clean_mean_d,eval/clean_success_rate
1.1,7,0.0,0.0003,0.2840031385421753,26,0.9710193276405334,200,-0.19786997139453888,-4.869096755981445,99,4,50.0,-50.0,,
1.1,22,0.0,0.0003,0.2152048647403717,18,0.9144908785820007,400,-0.60226970911026,-5.927365303039551,299,8,50.0,-49.875,,
1.1,37,0.0,0.0003,0.19296599924564362,16,0.861217200756073,600,-1.0097665786743164,-6.917139530181885,499,12,50.0,-49.75,,
1.1,52,0.0,0.0003,0.17732146382331848,15,0.8110339641571045,800,-1.4128389358520508,-7.97263240814209,699,16,50.0,-49.8125,,
1.1,66,0.0,0.0003,0.16889633238315582,15,0.7637901306152344,1000,-1.8145172595977783,-8.91408920288086,899,20,50.0,-49.85,,
1.1,79,0.0,0.0003,0.1765989065170288,15,0.7192934155464172,1200,-2.2139554023742676,-9.730388641357422,1099,24,50.0,-49.875,,
1.1,93,0.0,0.0003,0.1448119878768921,14,0.6773901581764221,1400,-2.6221022605895996,-10.463523864746094,1299,28,50.0,-49.892857142857146,,
1.1,107,0.0,0.0003,0.15141485631465912,14,0.6379334330558777,1600,-3.0151357650756836,-11.226293563842773,1499,32,50.0,-49.90625,,
1.1,121,0.0,0.0003,0.15166863799095154,14,0.6007794737815857,1800,-3.4280025959014893,-11.748699188232422,1699,36,50.0,-49.916666666666664,,
1.1,134,0.0,0.0003,0.10978870093822479,14,0.5657874941825867,2000,-3.841139078140259,-12.208703994750977,1899,40,50.0,-49.85,,
1.1,148,0.0,0.0003,0.1210373193025589,14,0.5328424572944641,2200,-4.249242782592773,-12.6314697265625,2099,44,50.0,-49.75,,
1.1,161,0.0,0.0003,0.16354075074195862,14,0.501820981502533,2400,-4.640995979309082,-13.058370590209961,2299,48,50.0,-49.770833333333336,,
1.1,175,0.0,0.0003,0.1538519561290741,14,0.47260957956314087,2600,-5.031829357147217,-13.451408386230469,2499,52,50.0,-49.78846153846154,,
1.1,189,0.0,0.0003,0.17099231481552124,14,0.4451061189174652,2800,-5.439727783203125,-13.482706069946289,2699,56,50.0,-49.80357142857143,,
1.1,203,0.0,0.0003,0.14199669659137726,14,0.41921332478523254,3000,-5.843536376953125,-13.59438705444336,2899,60,50.0,-49.75,,
1.1,216,0.0,0.0003,0.13811518251895905,14,0.39484158158302307,3200,-6.252282619476318,-14.045804977416992,3099,64,50.0,-49.765625,,
1.1,230,0.0,0.0003,0.12802572548389435,14,0.37189704179763794,3400,-6.637399196624756,-13.674424171447754,3299,68,50.0,-49.720588235294116,,
1.1,243,0.0,0.0003,0.1321992576122284,14,0.3503131568431854,3600,-7.018978595733643,-13.818042755126953,3499,72,50.0,-49.736111111111114,,
1.1,257,0.0,0.0003,0.11971688270568848,14,0.3299947679042816,3800,-7.438637733459473,-13.703800201416016,3699,76,50.0,-49.63157894736842,,
1.1,270,0.0,0.0003,0.15450763702392578,14,0.310867577791214,4000,-7.816643714904785,-13.831232070922852,3899,80,50.0,-49.625,,
1.1,284,0.0,0.0003,0.11570818722248077,14,0.29287242889404297,4200,-8.126761436462402,-13.910382270812988,4099,84,50.0,-49.642857142857146,,
1.1,298,0.0,0.0003,0.13425804674625397,14,0.27595028281211853,4400,-8.466283798217773,-13.525436401367188,4299,88,50.0,-49.65909090909091,,
1.1,311,0.0,0.0003,0.1469939798116684,14,0.2600340247154236,4600,-8.839323043823242,-12.99078369140625,4499,92,50.0,-49.67391304347826,,
1.1,325,0.0,0.0003,0.14156663417816162,14,0.24506299197673798,4800,-9.227774620056152,-13.259262084960938,4699,96,50.0,-49.6875,,
1.1,343,0.0,0.0003,0.13284985721111298,14,0.23096606135368347,5000,-9.580349922180176,-12.379599571228027,4899,100,50.0,-49.7,0.13972506833735324,0.5
1.1,357,0.0,0.0003,0.1592046469449997,14,0.21772076189517975,5200,-9.997221946716309,-12.690290451049805,5099,104,50.0,-49.7,,
1.1,371,0.0,0.0003,0.14120113849639893,14,0.20525027811527252,5400,-10.149371147155762,-12.84510612487793,5299,108,50.0,-49.69,,
1.1,385,0.0,0.0003,0.1525554060935974,14,0.19353075325489044,5600,-10.512493133544922,-12.293997764587402,5499,112,50.0,-49.63,,
1.1,399,0.0,0.0003,0.12763231992721558,14,0.18251730501651764,5800,-10.656341552734375,-12.114789962768555,5699,116,50.0,-49.63,,
1.1,412,0.0,0.0003,0.12891288101673126,14,0.17217053472995758,6000,-11.127958297729492,-11.640206336975098,5899,120,50.0,-49.63,,
1.1,426,0.0,0.0003,0.12724320590496063,14,0.16244009137153625,6200,-11.221221923828125,-11.67589282989502,6099,124,50.0,-49.63,,
1.1,439,0.0,0.0003,0.1433122158050537,14,0.15330015122890472,6400,-11.481578826904297,-10.655056953430176,6299,128,50.0,-49.61,,
1.1,452,0.0,0.0003,0.14913944900035858,14,0.14469410479068756,6600,-11.840356826782227,-11.01300048828125,6499,132,50.0,-49.61,,
1.1,465,0.0,0.0003,0.16372549533843994,14,0.1365896612405777,6800,-12.091821670532227,-10.872703552246094,6699,136,50.0,-49.57,,
1.1,478,0.0,0.0003,0.14096854627132416,14,0.12898249924182892,7000,-12.146650314331055,-10.362178802490234,6899,140,50.0,-49.58,,
1.1,492,0.0,0.0003,0.16066664457321167,14,0.12184140086174011,7200,-12.197183609008789,-9.811779022216797,7099,144,50.0,-49.61,,
1.1,506,0.0,0.0003,0.2035045176744461,14,0.11514463275671005,7400,-12.300949096679688,-9.422462463378906,7299,148,50.0,-49.61,,
1.1,519,0.0,0.0003,0.15864212810993195,14,0.10884217172861099,7600,-12.6989164352417,-9.489940643310547,7499,152,50.0,-49.6,,
1.1,532,0.0,0.0003,0.17417800426483154,14,0.10290616750717163,7800,-12.755631446838379,-8.913301467895508,7699,156,50.0,-49.6,,
1.1,546,0.0,0.0003,0.18365371227264404,14,0.09730672836303711,8000,-12.757635116577148,-8.7861909866333,7899,160,50.0,-49.64,,
