timestep,C0_clean,C1_slow,C2_medium,C3_fast,C4_instant,C5_gated
5000,0.23333333333333336,0.19999999999999998,0.20000000000000004,0.25,0.35000000000000003,0.23333333333333336
10000,1.0,1.0,1.0,1.0,0.9833333333333334,1.0
15000,1.0,1.0,1.0,1.0,1.0,1.0
20000,1.0,1.0,1.0,1.0,1.0,1.0
25000,1.0,1.0,1.0,1.0,1.0,1.0
30000,1.0,1.0,1.0,1.0,0.9666666666666667,1.0
35000,1.0,1.0,1.0,1.0,0.9833333333333334,1.0
40000,1.0,1.0,1.0,1.0,0.9833333333333334,1.0
45000,1.0,1.0,1.0,1.0,0.9666666666666667,1.0
50000,1.0,1.0,1.0,1.0,0.9166666666666666,1.0
55000,1.0,1.0,1.0,1.0,0.9666666666666667,1.0
60000,1.0,1.0,1.0,1.0,0.9666666666666667,1.0
65000,1.0,1.0,1.0,1.0,0.9833333333333334,1.0
70000,1.0,1.0,1.0,1.0,0.9833333333333334,1.0
75000,0.9166666666666666,1.0,1.0,0.9833333333333334,0.9,1.0
80000,1.0,1.0,1.0,0.9833333333333334,0.9166666666666666,1.0
85000,1.0,1.0,1.0,0.9666666666666667,0.9166666666666666,1.0
90000,1.0,1.0,1.0,0.9166666666666666,0.9333333333333332,1.0
95000,1.0,1.0,1.0,0.9833333333333334,0.85,0.9833333333333334
100000,1.0,1.0,1.0,0.9,0.8333333333333334,0.9833333333333334
