epsilon,condition,seed,biased_success,biased_mean_d
0.5,C0_clean,0,0.91,0.031517932298971665
0.5,C0_clean,1,0.98,0.03169890015082878
0.5,C0_clean,2,0.92,0.034389489265007935
0.5,C1_slow,0,0.96,0.031208626392568255
0.5,C1_slow,1,0.98,0.02550081523280321
0.5,C1_slow,2,0.96,0.028007730829338412
0.5,C2_medium,0,0.85,0.035118202373813204
0.5,C2_medium,1,0.89,0.030523108893508785
0.5,C2_medium,2,0.87,0.034151298328879975
0.5,C3_fast,0,0.8,0.04017883268451929
0.5,C3_fast,1,0.76,0.0377250589619234
0.5,C3_fast,2,0.91,0.0332337373616173
0.5,C4_instant,0,0.43,0.05306626958424096
0.5,C4_instant,1,0.79,0.03842574515241252
0.5,C4_instant,2,0.78,0.04375416338962408
0.5,C5_gated,0,0.67,0.044599141218509226
0.5,C5_gated,1,0.89,0.034728409801833476
0.5,C5_gated,2,0.96,0.02766699719097133
0.8,C0_clean,0,0.77,0.03833054407737486
0.8,C0_clean,1,0.7,0.04335381131660523
0.8,C0_clean,2,0.73,0.0417662859815501
0.8,C1_slow,0,0.6,0.07027624457631537
0.8,C1_slow,1,0.85,0.03543231033211355
0.8,C1_slow,2,0.83,0.054288040079066666
0.8,C2_medium,0,0.57,0.11183406859102757
0.8,C2_medium,1,0.8,0.04360390853296729
0.8,C2_medium,2,0.86,0.0403949774864551
0.8,C3_fast,0,0.7,0.04777790235277047
0.8,C3_fast,1,0.68,0.05164895401322154
0.8,C3_fast,2,0.85,0.033545514091157844
0.8,C4_instant,0,0.44,0.07014990485715145
0.8,C4_instant,1,0.69,0.04629225659720906
0.8,C4_instant,2,0.68,0.08055403495249397
0.8,C5_gated,0,0.63,0.05229232440466063
0.8,C5_gated,1,0.7,0.08416154116794976
0.8,C5_gated,2,0.76,0.051258181360948535
